starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	6
Fri Aug 02 14:53:48 2013	1375448028	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:48 2013	1375448028	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:48 2013	1375448028	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:48 2013	1375448028	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	7	7
Fri Aug 02 14:53:48 2013	1375448028	0	7	7	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	8	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	8	7
Fri Aug 02 14:53:49 2013	1375448029	0	7	8	7
Fri Aug 02 14:53:49 2013	1375448029	0	8	8	8
Fri Aug 02 14:53:48 2013	1375448028	0	8	8	8
Fri Aug 02 14:53:49 2013	1375448029	0	8	8	8
Fri Aug 02 14:53:49 2013	1375448029	0	8	8	8
Fri Aug 02 14:53:49 2013	1375448029	0	8	8	8
Fri Aug 02 14:53:49 2013	1375448029	0	8	8	8
Fri Aug 02 14:53:48 2013	1375448028	0	8	8	8
Fri Aug 02 14:53:48 2013	1375448028	0	8	8	8
Fri Aug 02 14:53:49 2013	1375448029	0	8	8	8
Fri Aug 02 14:53:48 2013	1375448028	0	8	8	8
Fri Aug 02 14:53:49 2013	1375448029	0	9	9	9
Fri Aug 02 14:53:49 2013	1375448029	0	9	9	9
Fri Aug 02 14:53:49 2013	1375448029	0	9	9	9
Fri Aug 02 14:53:48 2013	1375448028	0	9	9	9
Fri Aug 02 14:53:48 2013	1375448028	0	9	9	9
Fri Aug 02 14:53:49 2013	1375448029	0	9	9	9
Fri Aug 02 14:53:48 2013	1375448028	0	9	9	9
Fri Aug 02 14:53:48 2013	1375448028	0	9	9	9
Fri Aug 02 14:53:49 2013	1375448029	0	10	10	10
Fri Aug 02 14:53:48 2013	1375448028	0	10	10	10
Fri Aug 02 14:53:48 2013	1375448028	0	10	10	10
Fri Aug 02 14:53:48 2013	1375448028	0	11	11	11
Fri Aug 02 14:53:48 2013	1375448028	0	11	11	11
Fri Aug 02 14:53:49 2013	1375448029	0	11	11	11
Fri Aug 02 14:53:48 2013	1375448028	0	12	12	12
Fri Aug 02 14:53:49 2013	1375448029	0	12	12	12
Fri Aug 02 14:53:48 2013	1375448028	0	12	12	12
Fri Aug 02 14:53:48 2013	1375448028	0	14	14	14
Fri Aug 02 14:53:48 2013	1375448028	0	14	14	14
Fri Aug 02 14:53:48 2013	1375448028	0	17	17	17
Fri Aug 02 14:53:48 2013	1375448028	0	302	303	302
